link,url,latitude,longitude,isNotObservatory,Type
Behlen Observatory,/wiki/Behlen_Observatory,41.17083,-96.44667,FALSE,Visible
Beijing,/wiki/Beijing,39.917,116.383,TRUE,
Beijing Ancient Observatory,/wiki/Beijing_Ancient_Observatory,39.9061,116.4281,FALSE,Visible
Beijing,/wiki/Beijing,39.917,116.383,TRUE,
Belgrade Observatory,/wiki/Belgrade_Observatory,44.80361,20.508,FALSE,Visible
Belogradchik Observatory,/wiki/Belogradchik_Observatory,43.62278,22.675,FALSE,Visible
Belogradchik,/wiki/Belogradchik,43.6252655,22.6861989,TRUE,
Benmore Peak Observatory,/wiki/Benmore_Peak,-44.4172,170.094,FALSE,Visible
Mackenzie Basin,/wiki/Mackenzie_Basin,-44.06,170.45,TRUE,
Bergisch Gladbach Observatory,/wiki/Bergisch_Gladbach_Observatory,51.08761,7.48578,FALSE,Visible
Berlin Observatory,/wiki/Berlin_Observatory,52.50389,13.39417,FALSE,Visible
Burrell Memorial Observatory,/wiki/Burrell_Memorial_Observatory,41.3754,-81.8513,FALSE,Visible
Besançon Observatory,/wiki/Besan%C3%A7on_Observatory,47.2469,5.9897,FALSE,Visible
Besançon,/wiki/Besan%C3%A7on,47.24,6.02,TRUE,
Big Bear Lake Solar Observatory,/wiki/Big_Bear_Lake_Solar_Observatory,34.2583,-116.921,FALSE,Visible
"Big Bear City, California","/wiki/Big_Bear_City,_California",34.26111,-116.845,TRUE,
Bisdee Tier Optical Astronomy Observatory,/wiki/Bisdee_Tier_Optical_Astronomy_Observatory,-42.4311,147.2878,FALSE,Visible
Black Moshannon Observatory,/wiki/Black_Moshannon_Observatory,40.922,-78.005,FALSE,Visible
Blue Mesa Observatory,/wiki/Blue_Mesa_Observatory,32.4917,-107.1666,FALSE,Visible
New Mexico,/wiki/New_Mexico,34,-106,TRUE,
BOOTES,/wiki/BOOTES,37.0995,-6.73747,FALSE,Visible
Bordeaux Observatory,/wiki/Bordeaux_Observatory,44.8349,-0.526,FALSE,Visible
Floirac,"/wiki/Floirac,_Gironde",44.8375,-0.5247,TRUE,
Bosscha Observatory,/wiki/Bosscha_Observatory,-6.82444,107.61556,FALSE,Visible
Boswell Observatory,/wiki/Boswell_Observatory,40.7199083,-96.9511,FALSE,Visible
Bowman Observatory,/wiki/Bowman_Observatory,41.032389,-73.62111,FALSE,Visible
Boyden Observatory,/wiki/Boyden_Observatory,-29.0388306,26.404722,FALSE,Visible
South Africa,/wiki/South_Africa,-30,25,TRUE,
Bradstreet Observatory,/wiki/Bradstreet_Observatory,40.05028,-75.36889,FALSE,Visible
Bradley Observatory,/wiki/Bradley_Observatory,33.7652333,-84.2941611,FALSE,Visible
Braeside Observatory,/wiki/Braeside_Observatory,35.19167,-111.74833,FALSE,Visible
"Flagstaff, Arizona","/wiki/Flagstaff,_Arizona",35.19917,-111.63111,TRUE,
Brera Observatory,/wiki/Brera_Observatory,45.4714,9.1894,FALSE,Visible
Milan,/wiki/Milan,45.467,9.183,TRUE,
Brooks Observatory,/wiki/Brooks_Observatory,41.667,-83,FALSE,Visible
Brooks Astronomical Observatory,/wiki/Brooks_Astronomical_Observatory,43.5875,-84.77444,FALSE,Visible
Brorfelde Observatory,/wiki/Brorfelde_Observatory,55.624661,11.664739,FALSE,Visible
Bucknell Observatory,/wiki/Bucknell_Observatory,40.951317,-76.883217,FALSE,Visible
Byurakan Observatory,/wiki/Byurakan_Observatory,40.33083,44.26833,FALSE,Visible
Mount Aragats,/wiki/Mount_Aragats,40.53333,44.2,TRUE,
Cerro Tololo Inter-American Observatory,/wiki/Cerro_Tololo_Inter-American_Observatory,-30.1696611,-70.806525,FALSE,Visible
Cagigal Observatory,/wiki/Cagigal_Observatory,10.50361,-66.92889,FALSE,Visible
Caracas,/wiki/Caracas,10.48056,-66.90361,TRUE,
Cagliari Observatory,/wiki/Cagliari_Observatory,39.13653,8.97278,TRUE,
Cagliari,/wiki/Cagliari,39.22778,9.11111,TRUE,
Sardinia,/wiki/Sardinia,40,9,FALSE,Visible
Calais Observatory,/wiki/Calais_Observatory,45.1847639,-67.2807611,FALSE,Visible
"Calais, Maine","/wiki/Calais,_Maine",45.16611,-67.2425,TRUE,
Calar Alto Observatory,/wiki/Calar_Alto_Observatory,37.22361,-2.54611,FALSE,Visible
Caltech Submillimeter Observatory,/wiki/Caltech_Submillimeter_Observatory,19.8225,-155.476,FALSE,Microwave
Mauna Kea,/wiki/Mauna_Kea,19.82066408,-155.4680664,TRUE,
Hawaii,/wiki/Hawaii,21.31139,-157.79639,TRUE,
Campbelltown Rotary Observatory,/wiki/UWS_Rotary_Observatory,-34.07,150.8,FALSE,Visible
Canopus Hill Observatory,/wiki/Canopus_Hill_Observatory,-42.8475,147.43278,FALSE,Visible
Capilla Peak Observatory,/wiki/Capilla_Peak_Observatory,34.70667,-106.40861,FALSE,Visible
Capodimonte Observatory,/wiki/Capodimonte_Observatory,40.86286,14.25506,FALSE,Visible
Naples,/wiki/Naples,40.833,14.25,TRUE,
Carter Observatory,/wiki/Carter_Observatory,-41.28437,174.76697,FALSE,Visible
Catania Astrophysical Observatory,/wiki/Catania_Astrophysical_Observatory,37.5288083,15.0714944,FALSE,Visible
Catania,/wiki/Catania,37.5,15.09028,TRUE,
Cawthron Atkinson Observatory,/wiki/Cawthron_Atkinson_Observatory,-41.2253,173.3216,FALSE,Visible
Celestial Observatory,/wiki/Celestial_Observatory,35.29528,-93.13639,FALSE,Visible
Centennial Observatory,/wiki/Herrett_Observatory,42.58389,-114.47028,FALSE,Visible
Cerro Armazones Observatory,/wiki/Cerro_Armazones_Observatory,-24.59867,-70.20128,FALSE,Visible
Atacama Desert,/wiki/Atacama_Desert,-24.5,-69.25,TRUE,
Chile,/wiki/Chile,-30,-71,FALSE,Visible
Cerro Tololo Inter-American Observatory,/wiki/Cerro_Tololo_Inter-American_Observatory,-30.1696611,-70.806525,FALSE,Visible
Atacama Desert,/wiki/Atacama_Desert,-24.5,-69.25,TRUE,
Chile,/wiki/Chile,-30,-71,TRUE,
Cerro Pachón Observatory,/wiki/Cerro_Pach%C3%B3n,-30.240722,-70.736583,FALSE,Visible
Atacama Desert,/wiki/Atacama_Desert,-24.5,-69.25,TRUE,
Chile,/wiki/Chile,-30,-71,TRUE,
Chabot Space & Science Center,/wiki/Chabot_Space_%26_Science_Center,37.81861,-122.18056,FALSE,Visible
Chamberlin Observatory,/wiki/Chamberlin_Observatory,39.67611,-104.95306,FALSE,Visible
